Name,Email Id,Phone Number,Food/Raw,ZIP Code,City,Country
Michael Long,Michael@gmail.com,6034326425,Food,22400,Sunnyvale,United States of America
Mat,Mat@gmail.com,6034326426,Raw Materials,22434,Los Angeles,United States of America
Patty,Patty@gmail.com,6034326427,Food,22400,Irvine,United States of America
John,John@gmail.com,6034326428,Raw Materials,22434,New York,United States of America
Krish,Krish@gmail.com,6034326429,Food,22400,Chicago,United States of America
Bravo,Bravo@gmail.com,6034326430,Raw Materials,90012,Dallas,United States of America
Dwayne,Dwayne@gmail.com,6034326431,Food,90013,Houstan,United States of America
Cruz,Cruz@gmail.com,6034326432,Raw Materials,90014,San Jose,United States of America
Dave,Dave@gmail.com,6034326433,Food,90015,Seattle,United States of America
Joye,Joye@gmail.com,6034326434,Raw Materials,90016,El Paso,United States of America
Cynthia,Cynthia@gmail.com,6034326435,Food,90017,Boston,United States of America
Stokes,Stokes@gmail.com,6034326436,Raw Materials,90018,Tucson,United States of America
Adam,Adam@gmail.com,6034326437,Food,94043,Phoneix,United States of America
Jone,Jone@gmail.com,6034326438,Raw Materials,94044,Atlanta,United States of America
Ronals Hynes,Ronals@gmail.com,6034326439,Food,94045,Tulsa,United States of America
Nicole Wood,Nicole@gmail.com,6034326440,Raw Materials,94046,Miami,United States of America
Lee,Lee@gmail.com,6034326441,Food,94047,Oakland,United States of America
Cheryl Lee,Cheryl@gmail.com,6034326442,Raw Materials,94048,Dakota,United States of America
Davis,Davis@gmail.com,6034326443,Food,92617,Miami,United States of America
Patrik,Patrik@gmail.com,6034326444,Raw Materials,92618,Arlington,United States of America
Patrick Lane,Patrick@gmail.com,6034326445,Food,92617,Stockton,United States of America
Michale ,Michale@gmail.com,6034326446,Raw Materials,92617,Durham,United States of America
Mitchelle,Mitchelle@gmail.com,6034326447,Food,92617,Toledo,United States of America
Joshua,Joshua@gmail.com,6034326448,Raw Materials,92617,Utah,United States of America
Aaron,Aaron@gmail.com,6034326449,Food,92617,Ohio,United States of America
Finch,Finch@gmail.com,6034326450,Raw Materials,94089,Madison,United States of America
Ben Stokes,Ben@gmail.com,6034326451,Food,94089,Los Angeles,United States of America
Virat,Virat@gmail.com,6034326452,Raw Materials,94089,Miami,United States of America
Jennifer,Jennifer@gmail.com,6034326453,Food,94089,Dallas,United States of America
Paige,Paige@gmail.com,6034326454,Raw Materials,94089,Texas,United States of America
Atwood,Atwood@gmail.com,6034326455,Food,94089,Atlanta,United States of America
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
